Year,State,FIPS,Hesitancy,Hesitancy Level,Hesitancy measles,Hesitancy measles rate
2004.0,California,6013,204.0,0.0150553505535055,429.0,0.031660516605166
2004.0,California,6015,12.0,0.0369230769230769,19.0,0.0584615384615384
2004.0,California,6017,108.0,0.0506804317221961,226.0,0.1060534960112623
2004.0,California,6019,90.0,0.0061245321537938,223.0,0.0151752296699557
2004.0,California,6021,2.0,0.0044642857142857,12.0,0.0267857142857142
2004.0,California,6023,98.0,0.0721649484536082,149.0,0.109720176730486
2004.0,California,6025,9.0,0.0034695451040863,80.0,0.030840400925212
2004.0,California,6027,4.0,0.0213903743315508,5.0,0.0267379679144385
2004.0,California,6029,164.0,0.0126338494723056,487.0,0.0375163700793467
2004.0,California,6031,10.0,0.004151100041511,41.0,0.0170195101701951
2004.0,California,6033,15.0,0.020949720670391,63.0,0.0879888268156424
2004.0,California,6035,21.0,0.056910569105691,49.0,0.1327913279132791
2004.0,California,6037,1051.0,0.0075534889069361,6758.0,0.0485694367583961
2004.0,California,6039,20.0,0.0089928057553956,92.0,0.0413669064748201
2004.0,California,6041,113.0,0.0408827785817655,250.0,0.0904486251808972
2004.0,California,6043,6.0,0.0437956204379562,9.0,0.0656934306569343
2004.0,California,6045,35.0,0.0364963503649635,102.0,0.1063607924921793
2004.0,California,6047,13.0,0.0030127462340672,89.0,0.0206257242178447
2004.0,California,6049,3.0,0.0225563909774436,11.0,0.0827067669172932
2004.0,California,6051,4.0,0.0310077519379844,8.0,0.0620155038759689
2004.0,California,6053,42.0,0.0073452256033578,146.0,0.0255334032878628
2004.0,California,6055,20.0,0.0128040973111395,49.0,0.0313700384122919
2004.0,California,6057,100.0,0.0962463907603464,177.0,0.1703561116458132
2004.0,California,6059,718.0,0.0169503529356217,2160.0,0.0509927052102268
2004.0,California,6061,150.0,0.0318133616118769,345.0,0.073170731707317
2004.0,California,6063,17.0,0.0977011494252873,25.0,0.1436781609195402
2004.0,California,6065,258.0,0.0088202112748282,673.0,0.0230077604184472
2004.0,California,6067,323.0,0.017325537735343,1272.0,0.0682293622271093
2004.0,California,6069,9.0,0.0094637223974763,28.0,0.0294426919032597
2004.0,California,6071,331.0,0.0105196249801366,753.0,0.0239313522962021
2004.0,California,6073,677.0,0.0170623519330611,1617.0,0.0407530621503099
2004.0,California,6075,40.0,0.0068271036012971,295.0,0.0503498890595664
2004.0,California,6077,53.0,0.0050189393939393,298.0,0.0282196969696969
2004.0,California,6079,70.0,0.028747433264887,127.0,0.0521560574948665
2004.0,California,6081,84.0,0.010113171201541,424.0,0.051047435588731
2004.0,California,6083,147.0,0.0270170924462414,292.0,0.0536666054034184
2004.0,California,6085,298.0,0.0130353002930755,830.0,0.0363063732995057
2004.0,California,6087,145.0,0.0479814692256783,292.0,0.0966247518199867
2004.0,California,6089,98.0,0.046979865771812,183.0,0.0877277085330776
2004.0,California,6091,0.0,0.0,0.0,0.0
2004.0,California,6093,42.0,0.105793450881612,62.0,0.1561712846347607
2004.0,California,6095,44.0,0.0082120194102276,162.0,0.0302351623740201
2004.0,California,6097,221.0,0.0382816559847566,450.0,0.0779490732721288
2004.0,California,6099,133.0,0.0162950257289879,258.0,0.0316098995344278
2004.0,California,6101,7.0,0.0052316890881913,19.0,0.0142002989536621
2004.0,California,6103,29.0,0.0359801488833746,39.0,0.0483870967741935
2004.0,California,6105,12.0,0.1263157894736842,15.0,0.1578947368421052
2004.0,California,6107,70.0,0.0090591432638799,180.0,0.0232949398214054
2004.0,California,6109,30.0,0.0567107750472589,36.0,0.0680529300567107
2004.0,California,6111,221.0,0.0191044260027662,660.0,0.0570539419087136
2004.0,California,6113,40.0,0.0179051029543419,72.0,0.0322291853178155
2004.0,California,6115,15.0,0.0142314990512333,60.0,0.0569259962049335
2005.0,California,6001,152.0,0.0085788463709222,827.0,0.0466756970312676
2005.0,California,6003,0.0,0.0,1.0,0.0714285714285714
2005.0,California,6005,11.0,0.0350318471337579,11.0,0.0350318471337579
2005.0,California,6007,95.0,0.0396494156928213,147.0,0.0613522537562604
2005.0,California,6009,26.0,0.0572687224669603,42.0,0.092511013215859
2005.0,California,6011,5.0,0.0144092219020172,7.0,0.0201729106628242
2005.0,California,6013,216.0,0.0152080546363444,441.0,0.0310497782158698
2005.0,California,6015,14.0,0.0406976744186046,16.0,0.0465116279069767
2005.0,California,6017,87.0,0.0425427872860635,224.0,0.1095354523227383
2005.0,California,6019,78.0,0.0052086811352253,275.0,0.018363939899833
2005.0,California,6021,2.0,0.0046403712296983,6.0,0.0139211136890951
2005.0,California,6023,87.0,0.0679156908665105,172.0,0.1342701014832162
2005.0,California,6025,12.0,0.0046296296296296,57.0,0.0219907407407407
2005.0,California,6027,5.0,0.0289017341040462,8.0,0.0462427745664739
2005.0,California,6029,182.0,0.0135749981353024,597.0,0.0445289773998657
2005.0,California,6031,9.0,0.0039113428943937,49.0,0.0212950890916992
2005.0,California,6033,32.0,0.0439560439560439,73.0,0.1002747252747252
2005.0,California,6035,20.0,0.0533333333333333,45.0,0.12
2005.0,California,6037,1201.0,0.0087699441381576,6675.0,0.0487421957720252
2005.0,California,6039,27.0,0.0119733924611973,117.0,0.0518847006651884
2005.0,California,6041,124.0,0.0440653873489694,283.0,0.1005685856432125
2005.0,California,6043,2.0,0.0163934426229508,11.0,0.0901639344262295
2005.0,California,6045,46.0,0.0476190476190476,114.0,0.1180124223602484
2005.0,California,6047,21.0,0.0046979865771812,146.0,0.032662192393736
2005.0,California,6049,3.0,0.0309278350515463,5.0,0.0515463917525773
2005.0,California,6051,1.0,0.0074626865671641,9.0,0.0671641791044776
2005.0,California,6053,39.0,0.0069357993953405,185.0,0.0329005868753334
2005.0,California,6055,20.0,0.0123839009287925,54.0,0.0334365325077399
2005.0,California,6057,111.0,0.1120080726538849,181.0,0.1826437941473259
2005.0,California,6059,696.0,0.0165281405841842,2196.0,0.0521491332225124
2005.0,California,6061,184.0,0.0379772961816305,338.0,0.0697626418988648
2005.0,California,6063,8.0,0.041025641025641,8.0,0.041025641025641
2005.0,California,6065,274.0,0.0089880268984746,781.0,0.0256191569624405
2005.0,California,6067,357.0,0.0193328278999241,1437.0,0.0778186938156612
2005.0,California,6069,13.0,0.0140086206896551,27.0,0.0290948275862068
2005.0,California,6071,340.0,0.0107758620689655,1004.0,0.0318204868154158
2005.0,California,6073,763.0,0.0192152714818172,1755.0,0.0441976427923844
2005.0,California,6075,67.0,0.0108889972371201,302.0,0.0490817487404518
2005.0,California,6077,82.0,0.0074961148185391,301.0,0.0275162263461011
2005.0,California,6079,103.0,0.0427031509121061,151.0,0.0626036484245439
2005.0,California,6081,88.0,0.0102456630573989,403.0,0.0469204796833158
2005.0,California,6083,156.0,0.0280878646020885,288.0,0.0518545192653943
2005.0,California,6085,270.0,0.0112084353854456,773.0,0.0320893353812943
2005.0,California,6087,231.0,0.0706422018348623,375.0,0.1146788990825688
2005.0,California,6089,71.0,0.0348209906817067,137.0,0.0671897989210397
2005.0,California,6091,0.0,0.0,1.0,0.0285714285714285
2005.0,California,6093,47.0,0.1160493827160493,57.0,0.1407407407407407
2005.0,California,6095,55.0,0.0102611940298507,254.0,0.0473880597014925
2005.0,California,6097,226.0,0.0393385552654482,514.0,0.0894691035683202
2005.0,California,6099,165.0,0.019941986947063,314.0,0.0379502054628958
2005.0,California,6101,11.0,0.0080645161290322,59.0,0.0432551319648093
2005.0,California,6103,34.0,0.0392156862745098,60.0,0.0692041522491349
2005.0,California,6105,13.0,0.1203703703703703,17.0,0.1574074074074074
2005.0,California,6107,48.0,0.0059932575852166,153.0,0.019103508552878
2005.0,California,6109,25.0,0.0538793103448275,57.0,0.1228448275862068
2005.0,California,6111,250.0,0.0214316330904414,772.0,0.0661808829832833
2005.0,California,6113,31.0,0.0134548611111111,62.0,0.0269097222222222
2005.0,California,6115,21.0,0.018103448275862,96.0,0.0827586206896551
2006.0,California,6001,192.0,0.0106100795755968,957.0,0.0528846153846153
2006.0,California,6003,0.0,0.0,0.0,0.0
2006.0,California,6005,8.0,0.0288808664259927,10.0,0.0361010830324909
2006.0,California,6007,83.0,0.0332398878654385,160.0,0.0640768922707248
2006.0,California,6009,20.0,0.0434782608695652,41.0,0.0891304347826087
2006.0,California,6011,2.0,0.0053333333333333,4.0,0.0106666666666666
2006.0,California,6013,212.0,0.0155254485536433,534.0,0.0391065543756865
2006.0,California,6015,17.0,0.0515151515151515,23.0,0.0696969696969697
2006.0,California,6017,81.0,0.038479809976247,251.0,0.1192399049881235
2006.0,California,6019,97.0,0.0065091933968594,376.0,0.0252315125486511
2006.0,California,6021,7.0,0.0155210643015521,12.0,0.0266075388026607
2006.0,California,6023,99.0,0.0701630049610205,183.0,0.1296952515946137
